Item,Q4 2009,Q4 2010,Q3 2011,Q4 2011,Q1 2012,Q2 2012,Q3 2012,Q4 2012,Q1 2013,Q2 2013,Q3 2013,Q4 2013,Q1 2014,Q2 2014,Q3 2014,Q4 2014,Q1 2015,Q2 2015,Q3 2015,Q4 2015,Q1 2016,Q2 2016,Q3 2016,Q4 2016,Q1 2017,Q2 2017,Q3 2017,Q4 2017,Q1 2018,Q2 2018,Q3 2018,Q4 2018,Q1 2019,Q2 2019,Q3 2019,Q4 2019,Q1 2020,Q2 2020,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022,Q1 2023,Q2 2023,Q3 2023
B. Nguồn vốn chủ sở hữu,7590612897677.0,22666956748423.0,26692413274323.0,25019043060861.0,27524436982055.0,27383509131391.0,27972151756135.0,28755035882897.0,33164064523733.0,33988497519298.0,35064562581235.0,35134422918872.0,37103071288751.0,36947472826352.0,37110282451838.0,37683612363230.0,40373272696207.0,41547381581869.0,43883292139326.0,42893991226325.0,43612286379608.0,41293279358075.0,42203901290738.0,40857507190029.0,42483987903162.0,41377121958920.0,41371020071461.0,43160226282527.0,45778225096075.0,45047660440524.0,44256941836961.0,47464585701119.0,45928201666641.0,46402359250586.0,47258932853464.0,49684472763099.0,51963120794749.0,53527683397120.0,47794064016827.0,49408142163009.0,51576578924572.0,47845301778255.0,50193145379848.0,52192730675130.0,55709324244294.0,60571887620134.0,58013029322215.0,61317292428161.0,64569528030699.0,67451047454065.0,62671280844468.0
I. Vốn chủ sở hữu,7583437245560.0,22662079190019.0,26690766336741.0,25017116809361.0,27522045061192.0,27380788256224.0,27969530128475.0,28753471838043.0,33162799654174.0,33988497519298.0,35064562581235.0,35134422918872.0,37101267984468.0,36947472826352.0,37110282451838.0,37683612363230.0,40373272696207.0,41547381581869.0,43883292139326.0,42893991226325.0,43612286379608.0,41293279358075.0,42203901290738.0,40857507190029.0,42483987903162.0,41377121958920.0,41371020071461.0,43160226282527.0,45778225096075.0,45047660440524.0,44256941836961.0,47464585701119.0,45928201666641.0,46402359250586.0,47258932853464.0,49684472763099.0,51963120794749.0,53527683397120.0,47794064016827.0,49408142163009.0,51576578924572.0,47845301778255.0,50193145379848.0,52192730675130.0,55709324244294.0,60571887620134.0,58013029322215.0,61317292428161.0,64569528030699.0,67451047454065.0,62671280844468.0
1. Vốn đầu tư của chủ sở hữu,5068993804933.0,10455050754975.0,18950000000000.0,18950000000000.0,18950000000000.0,18950000000000.0,18950000000000.0,18950000000000.0,18950000000000.0,18950000000000.0,18950000000000.0,18950000000000.0,18950000000000.0,18950000000000.0,18950000000000.0,18950000000000.0,18950000000000.0,18950000000000.0,18950000000000.0,18950000000000.0,19139500000000.0,19139500000000.0,19139500000000.0,19139500000000.0,19139500000000.0,19139500000000.0,19139500000000.0,19139500000000.0,19139500000000.0,19139500000000.0,19139500000000.0,19139500000000.0,19139500000000.0,19139500000000.0,19139500000000.0,19139500000000.0,19139500000000.0,19139500000000.0,19139500000000.0,19139500000000.0,19139500000000.0,19139500000000.0,19139500000000.0,19139500000000.0,19139500000000.0,19139500000000.0,19139500000000.0,19139500000000.0,19139500000000.0,19139500000000.0,19139500000000.0
2. Thặng dư vốn cổ phần,0.0,0.0,10669128330.0,0.0,10642014176.0,0.0,0.0,0.0,0.0,0.0,0.0,1216727266.0,1216727266.0,1216727266.0,1216727266.0,1216727266.0,1216727266.0,1216727266.0,1041727266.0,421727266.0,189746727266.0,189746727266.0,189746727267.0,189746727266.0,189746727266.0,189746727266.0,189746727266.0,189746727266.0,210679541297.0,210679541297.0,210261047473.0,210261047473.0,210261047473.0,210679541297.0,210679541297.0,210679541297.0,210679541298.0,210679541297.0,210679541297.0,210679541297.0,210679541297.0,210679541297.0,210679541297.0,210679541297.0,210679541296.0,210679541297.0,210679541297.0,210679541297.0,210679541297.0,210679541297.0,210679541297.0
3. Quyền chọn chuyển đổi trái phiếu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4. Vốn khác của chủ sở hữu,0.0,1254472277.0,0.0,30966515289.0,0.0,30949322304.0,11200180895.0,30939401135.0,32941402529.0,33010841083.0,32941402529.0,32941402529.0,32941402529.0,31669684486.0,31695428185.0,59407831433.0,99284117472.0,100392477344.0,100378966864.0,251878967648.0,255997699987.0,255848686264.0,255848686264.0,255848686264.0,255850125849.0,255319038873.0,255850125849.0,255850125849.0,255850125849.0,255319038873.0,256268619673.0,256268619673.0,256268619673.0,255319038873.0,255319038873.0,196658562648.0,196658562647.0,196658562648.0,196658562648.0,196658562648.0,196658562648.0,196658562648.0,196658562648.0,196658562647.0,196658562649.0,196658562648.0,196658562648.0,196658562647.0,196658562647.0,191518297085.0,236959539600.0
5. Cổ phiếu quỹ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1153105.0,0.0,0.0,0.0,0.0,-39911223937.0,-40111223937.0,-40111223937.0,-40111223937.0,-40111223937.0,-40111223937.0,-40111223937.0,-40111223937.0,-40111223937.0,-40111223937.0,-40111223937.0,-40111223937.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6. Chênh lệch đánh giá lại tài sản,0.0,6710919929696.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7. Chênh lệch tỷ giá hối đoái,-6501673520.0,-2561854279.0,-44510923850.0,-71056425755.0,-54369223656.0,-75390405860.0,-76312668923.0,-71978893917.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8. Quỹ đầu tư phát triển,835463974369.0,1469719828337.0,142623337878.0,357653653654.0,358011156258.0,1545432949604.0,1545862514260.0,1568961755342.0,1549044498676.0,4235596821406.0,4236537810552.0,8525901268078.0,8547674504920.0,6967402952442.0,6941396840284.0,7628468143990.0,11646077847827.0,11661074756320.0,11661986576720.0,11513300927912.0,11527456420487.0,13253158089615.0,13274821291364.0,13404936846079.0,13404937821334.0,14849893822097.0,14849893822097.0,14849893822097.0,14849893822097.0,14862130022329.0,14862130022329.0,14862130022329.0,17213130022329.0,18945860840072.0,18945860840072.0,18844379948876.0,18844379948876.0,18853826843892.0,18853826843892.0,18853826843892.0,18853826843892.0,21053839680240.0,21053839680240.0,21053839680240.0,21053839680240.0,21063056727255.0,21063056727255.0,21063056727255.0,21063056727255.0,27627271883765.0,27581824673348.0
9. Quỹ dự phòng tài chính,1270467878633.0,1753694107517.0,26510467551.0,456640566558.0,456841647905.0,464399563825.0,464437260396.0,1454247518130.0,1456427891609.0,1459089933157.0,1459373448994.0,2683675233314.0,2684129436726.0,2685944872162.0,2686186558088.0,4057349429174.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10. Quỹ khác thuộc vốn chủ sở hữu,0.0,0.0,0.0,214429579255.0,214429579255.0,133749266332.0,140335064940.0,133689748947.0,131687747553.0,134944997553.0,134944997553.0,134944997553.0,134944997553.0,134944997553.0,134944997553.0,134944997553.0,134944997553.0,134944997553.0,134944997553.0,134945065666.0,134945065666.0,134944997553.0,134944997553.0,6287250000.0,6287318113.0,6287318113.0,6287318113.0,6287318113.0,6287318113.0,6287318113.0,6287318113.0,6287318113.0,6287318113.0,6287318113.0,6287318113.0,6287318113.0,6287318113.0,6287318113.0,6287318113.0,6287318113.0,6287318113.0,6287318113.0,6287318113.0,6287318113.0,6287318113.0,6287318113.0,6287318113.0,6287318113.0,6287318113.0,0.0,0.0
11. Lợi nhuận sau thuế chưa phân phối,183164716652.0,1657643473306.0,5896722494487.0,3541719326186.0,5819991659873.0,4684891721152.0,5343615720021.0,5048111290522.0,9334616693813.0,7498221099021.0,8509232979340.0,3133246277103.0,5141411115131.0,6558549617186.0,6622076130801.0,5154252657795.0,7755511077173.0,8935990871931.0,11211656147532.0,10254306115669.0,10442654373366.0,6600132128327.0,7543792880545.0,6176838462263.0,7805412457197.0,5299641034355.0,5285209221562.0,7011059402469.0,9528331483600.0,8719398137931.0,8020327515611.0,11212394893694.0,7291727956024.0,6042608163424.0,6985470307219.0,10146378758237.0,12454547908680.0,13992652108803.0,8329627819410.0,9958597337430.0,12080348068918.0,6156899737283.0,8550242800618.0,10487292270016.0,13949540186632.0,18762422641870.0,16023172827194.0,19242897173727.0,22581985091345.0,18883617297033.0,14309167502728.0
LNST chưa phân phối lũy kế đến cuối kỳ trước,,,,,,,,,,,,,,,,,,3796951229654.0,3796710799729.0,3817538512367.0,8867704049159.0,3706058570135.0,6586674058282.0,-576407346931.0,5624833313385.0,1353737957502.0,931112925216.0,948744751056.0,6942893539838.0,3107736344418.0,3168389744778.0,3224399573988.0,2963052600343.0,56819857635.0,59661642406.0,12869080634.0,10123682181319.0,9958116938165.0,2309577270227.0,2292591092098.0,10053507513839.0,1934441021515.0,1948547615517.0,1959966685399.0,10523675386395.0,10326533217687.0,4598234440097.0,4607157091879.0,19234924361338.0,12471036723883.0,5566051637159.0
LNST chưa phân phối kỳ này,,,,,,,,,,,,,,,,,,5139039642277.0,7414945347803.0,6436767603302.0,1574950324207.0,2894073558192.0,957118822263.0,6753245809194.0,2180579143812.0,3945903076853.0,4354096296346.0,6062314651413.0,2585437943762.0,5611661793513.0,4851937770833.0,7987995319706.0,4328675355681.0,5985788305789.0,6925808664813.0,10133509677603.0,2330865727361.0,4034535170638.0,6020050549183.0,7666006245332.0,2026840555079.0,4222458715768.0,6601695185101.0,8527325584617.0,3425864800237.0,8435889424183.0,11424938387097.0,14635740081848.0,3347060730007.0,6412580573150.0,8743115865569.0
12. Nguồn vốn đầu tư xây dựng cơ bản,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13. Quỹ hỗ trợ sắp xếp doanh nghiệp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14. Lợi ích của cổ đông không kiểm soát,231848544493.0,616358478190.0,1708751832345.0,1536763594174.0,1766498227381.0,1646755838867.0,1590392056886.0,1639501017884.0,1708081419994.0,1677633827078.0,1741531942267.0,1672498166134.0,1608949800343.0,1617743975257.0,1742765769661.0,1697972576019.0,1826149152853.0,1803872975392.0,1863394947328.0,1829249646101.0,1962097316773.0,1760059952987.0,1705357931682.0,1724460442094.0,1722364677340.0,1676845242153.0,1684644080511.0,1748000110670.0,1787682805119.0,1854346381981.0,1762167313762.0,1777743799837.0,1811026703029.0,1802104348807.0,1715815807890.0,1140588633928.0,1111067515135.0,1128079022367.0,1057483931467.0,1042592559629.0,1089278589704.0,1081436938674.0,1035937476932.0,1098473302817.0,1152818955364.0,1193282828951.0,1373674345708.0,1458213105122.0,1371360790042.0,1398460434885.0,1193149587495.0
II. Nguồn kinh phí và quỹ khác,7175652117.0,4877558404.0,1646937582.0,1926251500.0,2391920863.0,2720875167.0,2621627660.0,1564044854.0,1264869559.0,0.0,0.0,0.0,1803304283.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1. Nguồn kinh phí ,0.0,0.0,0.0,0.0,645000000.0,645000000.0,645000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2. Nguồn kinh phí đã hình thành tài sản cố định,7175652117.0,4877558404.0,1646937582.0,1926251500.0,1746920863.0,2075875167.0,1976627660.0,1564044854.0,1264869559.0,0.0,0.0,0.0,1803304283.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3. Quỹ dự phòng trợ cấp mất việc làm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TỔNG CỘNG NGUỒN VỐN,21893834085771.0,39679259266585.0,54877734820376.0,45610766961022.0,52252870570016.0,50665951159620.0,49737342582772.0,45108421019256.0,48101968875708.0,49122286048449.0,48356717253633.0,50503546398934.0,51487898979360.0,49376259275628.0,53208319828115.0,53762672238302.0,52968689659839.0,52837549701521.0,54878245708584.0,56724384934262.0,59708787758377.0,59526287021889.0,58106823934254.0,56897271416985.0,61013023071375.0,60377343375858.0,60579566466685.0,61786993850008.0,66149715518727.0,68073091054073.0,60999894807152.0,62578965420769.0,62009451511843.0,65200269960611.0,62557544509153.0,62254322822238.0,65452636255786.0,67147956383291.0,61704299780672.0,63089655865684.0,68626315339643.0,74826437216601.0,73218244394411.0,78768074688564.0,85170155703686.0,88539470273208.0,85223863206357.0,82806381239384.0,84128383780644.0,88247092723762.0,84638510807322.0
