Item,Q4 2010,Q4 2011,Q4 2012,Q1 2013,Q2 2013,Q3 2013,Q4 2013,Q1 2014,Q2 2014,Q3 2014,Q4 2014,Q1 2015,Q2 2015,Q3 2015,Q4 2015,Q2 2016,Q4 2016,Q1 2017,Q2 2017,Q3 2017,Q4 2017,Q1 2018,Q2 2018,Q3 2018,Q4 2018,Q1 2019,Q2 2019,Q3 2019,Q4 2019,Q1 2020,Q2 2020,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022,Q1 2023,Q2 2023,Q3 2023,Q4 2023
TÀI SẢN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A. Tài sản lưu động và đầu tư ngắn hạn,402080566949.0,181524360360.0,55151950905.0,41917983435.0,36932806197.0,21716810253.0,77518541072.0,44362340432.0,39219665080.0,55135345584.0,366340279395.0,359068660390.0,350799355144.0,375827566509.0,474184822007.0,457668156455.0,334846091183.0,263520086095.0,227442485773.0,216896260428.0,318825117435.0,111770733028.0,177074260869.0,256343242701.0,489910831132.0,448304632795.0,518377505048.0,622399995178.0,587858369837.0,554867707298.0,533424463129.0,441073985939.0,236578952895.0,447144882252.0,288701617959.0,400506272046.0,352142763857.0,250384824028.0,370443706521.0,372627435989.0,1734819181422.0,1680453995733.0,1670337927037.0,1696995890115.0,2064408677091.0
I. Tiền và các khoản tương đương tiền,266350602232.0,42611091116.0,39100193528.0,3651266937.0,17025910914.0,2620454195.0,44634449264.0,22080789419.0,11236049217.0,28460522361.0,32009613959.0,20459048279.0,311723891958.0,6591498927.0,338446293899.0,306873566373.0,18738677630.0,53097502031.0,33920639016.0,88651083557.0,83064296489.0,24366561039.0,69960655626.0,95079427342.0,276124911168.0,327324111071.0,386046142683.0,436298987414.0,291804736479.0,258749794581.0,236373133941.0,215102242152.0,89152360679.0,209545225876.0,95374434126.0,223046564850.0,199379109394.0,105292817647.0,254009264353.0,252049130049.0,265632283790.0,200912946143.0,161605849264.0,184245317481.0,222415018720.0
1. Tiền,5207402232.0,9411091116.0,9600193528.0,3651266937.0,8025910914.0,2620454195.0,26634449264.0,4080789419.0,6236049217.0,8460522361.0,7009613959.0,20459048279.0,311723891958.0,6591498927.0,7446293899.0,8073566373.0,3738677630.0,5097502031.0,8920639016.0,33651083557.0,28064296489.0,14366561039.0,28853229076.0,11972000792.0,19011005610.0,13214367256.0,12437216613.0,92040061344.0,12211443019.0,13156501121.0,20779863911.0,39508972122.0,13559535819.0,41602401016.0,17432031006.0,12939161730.0,69272830914.0,15186539167.0,33900877173.0,88083742869.0,101665607960.0,28963270313.0,17334587791.0,40135524501.0,179551594090.0
2. Các khoản tương đương tiền,261143200000.0,33200000000.0,29500000000.0,0.0,9000000000.0,0.0,18000000000.0,18000000000.0,5000000000.0,20000000000.0,25000000000.0,0.0,0.0,0.0,331000000000.0,298800000000.0,15000000000.0,48000000000.0,25000000000.0,55000000000.0,55000000000.0,10000000000.0,41107426550.0,83107426550.0,257113905558.0,314109743815.0,373608926070.0,344258926070.0,279593293460.0,245593293460.0,215593270030.0,175593270030.0,75592824860.0,167942824860.0,77942403120.0,210107403120.0,130106278480.0,90106278480.0,220108387180.0,163965387180.0,163966675830.0,171949675830.0,144271261473.0,144109792980.0,42863424630.0
II. Các khoản đầu tư tài chính ngắn hạn,0.0,11000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300000000000.0,300000000000.0,0.0,310000000000.0,0.0,70000000000.0,250000000000.0,150000000000.0,150000000000.0,100000000000.0,100000000000.0,128930050.0,0.0,40000000000.0,50000000000.0,50000000000.0,50000000000.0,50000000000.0,120000000000.0,120000000000.0,120000000000.0,120000000000.0,80000000000.0,130000000000.0,120000000000.0,60000000000.0,60000000000.0,50000000000.0,40000000000.0,40000000000.0,40000000000.0,30000000000.0,30000000000.0,30000000000.0,30000000000.0
1. Chứng khoán kinh doanh,0.0,11000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2. Dự phòng giảm giá chứng khoán kinh doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3. Đầu tư nắm giữ đến ngày đáo hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300000000000.0,0.0,310000000000.0,0.0,70000000000.0,250000000000.0,150000000000.0,150000000000.0,100000000000.0,100000000000.0,128930050.0,0.0,40000000000.0,50000000000.0,50000000000.0,50000000000.0,50000000000.0,120000000000.0,120000000000.0,120000000000.0,120000000000.0,80000000000.0,130000000000.0,120000000000.0,60000000000.0,60000000000.0,50000000000.0,40000000000.0,40000000000.0,40000000000.0,30000000000.0,30000000000.0,30000000000.0,30000000000.0
III. Các khoản phải thu ngắn hạn,133627874289.0,127308708385.0,15894702899.0,37353187103.0,19372107819.0,18339222955.0,32232404457.0,18091951022.0,24718092259.0,17827920715.0,23198080764.0,20739359143.0,23513488222.0,27258206031.0,111149723472.0,78717137522.0,60277664699.0,52180694706.0,35270219520.0,19083396255.0,122495285379.0,83229460095.0,105506524529.0,119781201448.0,161375030214.0,69543364873.0,80409146222.0,133938803479.0,171688527499.0,165792096732.0,165901851027.0,91579193381.0,45970470572.0,81378247475.0,35791546034.0,82941388997.0,52167886610.0,50845713690.0,32439960855.0,36163667768.0,39570882610.0,57991623248.0,59397759087.0,62257348101.0,67309491649.0
1. Phải thu ngắn hạn của khách hàng,153932575.0,8665103559.0,730643704.0,20653382034.0,2654982550.0,725595422.0,14898976923.0,104162984.0,7320680881.0,426921530.0,4772945664.0,3078300730.0,4610489718.0,3678524348.0,80694062478.0,41904847179.0,32641067156.0,31943122775.0,17059175623.0,11048429997.0,108202825408.0,71200828464.0,90813402152.0,102485887886.0,145614001344.0,38626772327.0,47340417042.0,78438624717.0,50873023412.0,23105412975.0,13352831776.0,14402000187.0,3940107707.0,14116247332.0,3794106776.0,16114435696.0,9680656856.0,18919478572.0,4833191120.0,8084258413.0,25779077592.0,39185431868.0,41616354675.0,44140419748.0,63696134628.0
2. Trả trước cho người bán,22536396126.0,4427497790.0,1446575894.0,2982321768.0,2999641968.0,3835121353.0,3613759844.0,4309455102.0,3707091052.0,3701725312.0,4510033358.0,3921784358.0,5158114253.0,9838759771.0,9237693995.0,22978842333.0,12633236099.0,6372816557.0,4206319803.0,7706875830.0,0.0,10630620313.0,13491246817.0,15824275598.0,13373402975.0,30431570905.0,32303101250.0,56418367217.0,119535034682.0,142222366211.0,150863266430.0,78188300873.0,40952830104.0,66134613987.0,31473948829.0,66215462872.0,39080738122.0,31168937460.0,26802816598.0,27099527905.0,11431514871.0,17729158808.0,16965509333.0,17555896274.0,4585825290.0
3. Phải thu nội bộ ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12705877846.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4. Phải thu theo tiến độ hợp đồng xây dựng,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5. Phải thu về cho vay ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6. Phải thu ngắn hạn khác,110937545588.0,114255257401.0,13756633666.0,13756633666.0,13756633666.0,13817656545.0,13758818055.0,13756633666.0,13768621056.0,13777574603.0,13993402472.0,13817574785.0,13823184981.0,13819222642.0,21217966999.0,13833448010.0,15003361444.0,13864755374.0,14004724094.0,328090428.0,1586582125.0,1398011318.0,1201875560.0,1471037964.0,2387625895.0,1271655297.0,2601106460.0,917290075.0,3465562893.0,2649411034.0,3912050929.0,1215190429.0,1077532761.0,1127386156.0,523490429.0,611490429.0,3431078924.0,781884950.0,828540429.0,1004468742.0,2401268967.0,1118011392.0,873265427.0,618402427.0,2379918538.0
7. Dự phòng phải thu ngắn hạn khó đòi,0.0,-39150365.0,-39150365.0,-39150365.0,-39150365.0,-39150365.0,-39150365.0,-78300730.0,-78300730.0,-78300730.0,-78300730.0,-78300730.0,-78300730.0,-78300730.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-786633656.0,-1835478530.0,-1835478530.0,-2185093488.0,-2185093488.0,-2226298108.0,-2226298108.0,0.0,0.0,0.0,0.0,-24587292.0,-24587292.0,-24587292.0,-24587292.0,-40978820.0,-40978820.0,-57370348.0,-57370348.0,-3352386807.0
IV. Tổng hàng tồn kho,0.0,86905499.0,157054478.0,325243359.0,507946719.0,684470840.0,39796540.0,111796540.0,111796540.0,39796540.0,380716010.0,4380000.0,0.0,12394458934.0,6475003410.0,1014915453.0,1145678800.0,819577625.0,925704075.0,1261373297.0,754594475.0,1057903534.0,1310374245.0,1348848146.0,1137552891.0,1212641825.0,1625963825.0,1960716477.0,1036162189.0,1219887461.0,1863159974.0,2843274201.0,2957352791.0,2666484281.0,4505016604.0,5763325838.0,6589383951.0,6596973914.0,5802327205.0,5815970643.0,1343143251436.0,1344842979530.0,1367467617598.0,1373304772801.0,1621216375915.0
1. Hàng tồn kho,0.0,86905499.0,157054478.0,325243359.0,507946719.0,684470840.0,39796540.0,111796540.0,111796540.0,39796540.0,380716010.0,4380000.0,0.0,12394458934.0,6475003410.0,1014915453.0,1145678800.0,819577625.0,925704075.0,1261373297.0,754594475.0,1057903534.0,1310374245.0,1348848146.0,1137552891.0,1212641825.0,1625963825.0,1960716477.0,1036162189.0,1219887461.0,1863159974.0,2843274201.0,2957352791.0,2666484281.0,4505016604.0,5763325838.0,6589383951.0,6596973914.0,5802327205.0,5815970643.0,1343143251436.0,1344842979530.0,1367467617598.0,1373304772801.0,1621216375915.0
2. Dự phòng giảm giá hàng tồn kho,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
V. Tài sản ngắn hạn khác,2102090428.0,517655360.0,0.0,588286036.0,26840745.0,72662263.0,611890811.0,4077803451.0,3153727064.0,8807105968.0,10751868662.0,17865872968.0,15561974964.0,19583402617.0,18113801226.0,1062537107.0,4684070054.0,7422311733.0,7325923162.0,7900407319.0,12510941092.0,2987878310.0,296706469.0,133765765.0,1273336859.0,224515026.0,296252318.0,201487808.0,3328943670.0,9105928524.0,9286318187.0,11549276205.0,18498768853.0,23554924620.0,33030621195.0,28754992361.0,34006383902.0,37649318777.0,38192154108.0,38598667529.0,46472763586.0,46706446812.0,51866701088.0,47188451732.0,123467790807.0
1. Chi phí trả trước ngắn hạn,0.0,37121390.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,286224330.0,204984831.0,105745332.0,57571200.0,104993733.0,12500000.0,75500000.0,106500000.0,54300000.0,201723400.0,303302912.0,207460929.0,133765765.0,241356366.0,224456026.0,284872955.0,189945718.0,1163937607.0,7651021610.0,5439445533.0,5438006747.0,6979449079.0,5653318266.0,7186246219.0,930308064.0,1072117154.0,1115877284.0,1808393412.0,2054499246.0,1975885103.0,1020541247.0,5956715790.0,1222114814.0,76303303333.0
2. Thuế giá trị gia tăng được khấu trừ,1950181270.0,445113970.0,0.0,545286036.0,7614210.0,0.0,587228548.0,3751249167.0,3033838493.0,4654979072.0,10679980091.0,16152850717.0,15288101562.0,19408768714.0,17990841455.0,892154803.0,4606181483.0,7281423162.0,7154034591.0,7780718748.0,4769267011.0,2619186827.0,23856969.0,0.0,0.0,59000.0,11379363.0,11542090.0,2165006063.0,1454906914.0,3846872654.0,6111269458.0,11519319774.0,17901606354.0,25844374976.0,27824684297.0,32934266748.0,36533441493.0,36383760696.0,36544168283.0,44496878483.0,45685905565.0,45909985298.0,45966336918.0,47164487474.0
3. Thuế và các khoản phải thu Nhà nước,0.0,0.0,0.0,0.0,1226535.0,21662263.0,21662263.0,275554284.0,68888571.0,4101126896.0,68888571.0,1426797921.0,68888571.0,68888571.0,65388571.0,65388571.0,65388571.0,65388571.0,65388571.0,65388571.0,7539950681.0,65388571.0,65388571.0,0.0,1031980493.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4. Giao dịch mua bán lại trái phiếu chính phủ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5. Tài sản ngắn hạn khác,151909158.0,35420000.0,0.0,43000000.0,18000000.0,51000000.0,3000000.0,51000000.0,51000000.0,51000000.0,3000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B. Tài sản cố định và đầu tư dài hạn,372353145814.0,793918189084.0,915781189834.0,942122658902.0,970948005535.0,980248042881.0,1054162331977.0,1106763447915.0,1331838128668.0,1407548522598.0,1461633462347.0,1529431094017.0,1549565627244.0,1603062190678.0,1657336016152.0,1802128973624.0,1485964018044.0,1549426272713.0,1577904434982.0,1640768659164.0,1889665702916.0,2021262157565.0,2072503863696.0,2125152516155.0,2182605357779.0,2261489817278.0,2332626120159.0,2388595594511.0,2529912236927.0,2648428784943.0,2803391284619.0,3390022821311.0,4181166987821.0,4670388777087.0,4898750206285.0,5034714418193.0,5264232306439.0,5405199097084.0,5553986314771.0,5662872714949.0,4600176446047.0,4621359725236.0,4675630376856.0,4707288575835.0,4896719990499.0
I. Các khoản phải thu dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,168101010.0,168101010.0,168101010.0,168101010.0,168101010.0,168101010.0,168101010.0,168101010.0,168101010.0,168101010.0,168101010.0,168101010.0,168101010.0,168101010.0,173101010.0,173101010.0,173101010.0,173101010.0,245095088.0,245095088.0,245095088.0,307311938.0,307311938.0,307311938.0,307311938.0,307311938.0,307311938.0,307311938.0,307311938.0,307311938.0,324145994.0,324145994.0,324145994.0,324145994.0
1. Phải thu dài hạn của khách hàng,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2. Vốn kinh doanh tại các đơn vị trực thuộc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3. Phải thu dài hạn nội bộ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4. Phải thu về cho vay dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5. Phải thu dài hạn khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,168101010.0,168101010.0,168101010.0,168101010.0,168101010.0,168101010.0,168101010.0,168101010.0,168101010.0,168101010.0,168101010.0,168101010.0,168101010.0,168101010.0,173101010.0,173101010.0,173101010.0,173101010.0,245095088.0,245095088.0,245095088.0,307311938.0,307311938.0,307311938.0,307311938.0,307311938.0,307311938.0,307311938.0,307311938.0,307311938.0,324145994.0,324145994.0,324145994.0,324145994.0
6. Dự phòng phải thu dài hạn khó đòi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
II. Tài sản cố định,27422902180.0,54871004051.0,66160044638.0,64950472796.0,63473587120.0,62334448159.0,61139163351.0,59943878556.0,58782179177.0,57585822506.0,58497262236.0,58656323878.0,57470802187.0,56285280496.0,55099758824.0,52728715442.0,333462711060.0,331146098757.0,328797312477.0,326447957544.0,326946384544.0,324576523998.0,322116571881.0,319892234017.0,319740203574.0,319862797045.0,320317358243.0,318466053198.0,315569189346.0,312921237514.0,310250611435.0,311380832217.0,308371565394.0,307522367400.0,309146779736.0,308300009692.0,307449859650.0,306517441556.0,305925346124.0,305333607980.0,668927017540.0,661628479144.0,654429771883.0,645440250860.0,791029994190.0
1. Tài sản cố định hữu hình,24105425458.0,52254781748.0,64134095469.0,63002158986.0,61602908669.0,60486977984.0,59371047289.0,58255116604.0,57172771335.0,56055768774.0,57046562600.0,57284978352.0,56178810771.0,55072643190.0,53966475614.0,51754140452.0,332646844276.0,330409586083.0,328140153913.0,325870153090.0,326447934186.0,324157427750.0,321736497873.0,319570628911.0,319477067348.0,319652708244.0,320155174992.0,318349204558.0,315491877059.0,312871865073.0,310212556237.0,311345782959.0,308339522066.0,307493330012.0,309120748288.0,308276411263.0,307348862752.0,306421731846.0,305834923602.0,305248472646.0,668847169392.0,661553918184.0,654360498111.0,644977944276.0,789049000357.0
