Item,Q4 2003,Q4 2004,Q4 2005,Q1 2006,Q2 2006,Q3 2006,Q4 2006,Q1 2007,Q2 2007,Q3 2007,Q4 2007,Q1 2008,Q2 2008,Q3 2008,Q4 2008,Q1 2009,Q2 2009,Q3 2009,Q4 2009,Q1 2010,Q2 2010,Q3 2010,Q4 2010,Q1 2011,Q2 2011,Q3 2011,Q4 2011,Q1 2012,Q2 2012,Q3 2012,Q4 2012,Q1 2013,Q2 2013,Q3 2013,Q4 2013,Q1 2014,Q2 2014,Q3 2014,Q4 2014,Q1 2015,Q2 2015,Q3 2015,Q4 2015,Q1 2016,Q2 2016,Q3 2016,Q4 2016,Q1 2017,Q2 2017,Q3 2017,Q4 2017,Q1 2018,Q2 2018,Q3 2018,Q4 2018,Q1 2019,Q2 2019,Q3 2019,Q4 2019,Q1 2020,Q2 2020,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022,Q1 2023,Q2 2023,Q3 2023
TÀI SẢN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A. Tài sản lưu động và đầu tư ngắn hạn,2101405629848.0,1769506478546.0,2900222974202.0,2484672780620.0,3001994560592.0,2693286823504.0,1950825000000.0,1955977000000.0,2432490458171.0,2746772970385.0,3019313000000.0,3321608882145.0,3578980133281.0,3517637057348.0,3396042090671.0,3301808001281.0,4047900505389.0,4143509745838.0,5118618135307.0,5530123703575.0,6383972078253.0,5242473167935.0,5919802789330.0,7327494010108.0,9519928589713.0,8979083971263.0,9467682996094.0,10079372759107.0,10140518022705.0,8758053279580.0,11080537816712.0,11885819757336.0,12077326003950.0,11634196616736.0,13018930127438.0,13566719604936.0,13778291683771.0,12808828895655.0,15522309519016.0,16640748752812.0,16603153127894.0,15029826360314.0,16731875433624.0,18004264892914.0,19513524046623.0,17322793032464.0,18673827685789.0,20171593469610.0,20677934235834.0,18889319053176.0,20307434789529.0,19974838548267.0,20818678622022.0,18360115898846.0,20559756794837.0,22040432596172.0,22089274019449.0,22146344620561.0,24721565376552.0,26461638721175.0,30073376341979.0,31541319633765.0,29665725805058.0,32834546632146.0,35042535233833.0,34446542339559.0,36109910649785.0,35452395671778.0,36871285863860.0,34373292456500.0,31560382174201.0,32394853632375.0,33403479517290.0,37680161943052.0
I. Tiền và các khoản tương đương tiền,692592428783.0,515695160594.0,1012303572223.0,488523311113.0,124226111319.0,172883401838.0,156495000000.0,205989000000.0,164375573137.0,456487682796.0,113527000000.0,152146349244.0,286908723316.0,566925462241.0,340633634582.0,1000059805331.0,875810906593.0,217638372110.0,426134657958.0,220682266115.0,462160742775.0,289370283076.0,263472368080.0,223197137439.0,192747971783.0,1986287919135.0,3156515396990.0,2983283071409.0,2143732190431.0,555133933126.0,1252120160804.0,1633381902213.0,812485229333.0,1684436360678.0,2745645325950.0,1193310867797.0,1219936043702.0,670329547281.0,1527875428216.0,1227505962892.0,1854221704170.0,1409857423245.0,1358682600684.0,1228329938789.0,3059808166107.0,772572092518.0,655423095436.0,2216760721249.0,590906789944.0,668414723359.0,963335914164.0,563392699177.0,1343435279374.0,630784664818.0,1522610167671.0,1209154406312.0,1676491290318.0,1043473767363.0,2665194638452.0,1379711866875.0,2176667357252.0,2335881481579.0,2111242815581.0,1197956795582.0,1663036014269.0,2051857098275.0,2348551874348.0,1680858133124.0,4507497088287.0,2867857717514.0,2299943527624.0,2011202511723.0,1582506692207.0,6875567986039.0
1. Tiền,692592428783.0,950834594.0,130303572223.0,98523311113.0,124226111319.0,,,,163675573137.0,156487682796.0,,152146349244.0,146908713316.0,156925462241.0,132976253257.0,161178805331.0,195001906593.0,216218372110.0,376134657958.0,220682266115.0,260160742775.0,287870283076.0,249472368080.0,171197137439.0,192747971783.0,466287919135.0,790515396990.0,871183071409.0,745732190431.0,555133933126.0,852120160804.0,773381902213.0,727485229333.0,524436360678.0,1394534283673.0,517820867797.0,689911851239.0,639329547281.0,993333794600.0,946150962892.0,563457704170.0,1219107423245.0,1212517600684.0,1223829938789.0,1007308166107.0,763572092518.0,599923095436.0,518760721249.0,558406789944.0,628414723359.0,834435914164.0,513392699177.0,808435279374.0,545784664818.0,1072610167671.0,1029154406312.0,826491290318.0,987873767363.0,2378583764655.0,1028411866875.0,2044667357252.0,995896481579.0,863853260384.0,869981048166.0,1261476873446.0,1432929886920.0,1187350251579.0,906974752516.0,1200418415119.0,1904312680816.0,1327429518437.0,925091957178.0,791780310675.0,4244364731244.0
2. Các khoản tương đương tiền,0.0,514744326000.0,882000000000.0,390000000000.0,0.0,,,,700000000.0,300000000000.0,,0.0,140000000000.0,410000000000.0,207657381325.0,838881000000.0,680809000000.0,1420000000.0,50000000000.0,0.0,202000000000.0,1500000000.0,14000000000.0,52000000000.0,0.0,1520000000000.0,2366000000000.0,2112100000000.0,1398000000000.0,0.0,400000000000.0,860000000000.0,85000000000.0,1160000000000.0,1351111042277.0,675490000000.0,530024192463.0,31000000000.0,534541633616.0,281355000000.0,1290764000000.0,190750000000.0,146165000000.0,4500000000.0,2052500000000.0,9000000000.0,55500000000.0,1698000000000.0,32500000000.0,40000000000.0,128900000000.0,50000000000.0,535000000000.0,85000000000.0,450000000000.0,180000000000.0,850000000000.0,55600000000.0,286610873797.0,351300000000.0,132000000000.0,1339985000000.0,1247389555197.0,327975747416.0,401559140823.0,618927211355.0,1161201622769.0,773883380608.0,3307078673168.0,963545036698.0,972514009187.0,1086110554545.0,790726381532.0,2631203254795.0
II. Các khoản đầu tư tài chính ngắn hạn,0.0,292167977233.0,2800000000.0,22200000000.0,162184182600.0,160884182600.0,307130000000.0,313695000000.0,395529662630.0,444951662630.0,300970000000.0,786202870970.0,566833786492.0,626235000592.0,559117398192.0,220717934492.0,984964653192.0,1912401169592.0,2314253566692.0,2401904583092.0,2535265502792.0,1329650960192.0,2092259762292.0,2318112626925.0,3129069564992.0,1215965326492.0,736033188192.0,632275956892.0,931730788492.0,2029334564892.0,3909275954492.0,3926641975882.0,4690836761292.0,3869716691608.0,4167317622318.0,5776073081618.0,5917347091318.0,6010426758526.0,7467962935026.0,8469267785759.0,7856878780812.0,6918871993291.0,8668377936330.0,9305385263665.0,8630483623974.0,8935288386774.0,10453749313471.0,10320085979619.0,11451962635433.0,9791941947414.0,10561714377337.0,9661889566014.0,9210770926165.0,7772300444146.0,8673926951890.0,9666846652579.0,9306531479431.0,10238285848104.0,12435744328964.0,14370288608530.0,16363060738340.0,17872002664622.0,17313679774893.0,19542794237097.0,19971222710510.0,19753142693943.0,21025735779475.0,19832829713819.0,18976163363916.0,19533563143705.0,17414055328683.0,16801331801284.0,19083000543582.0,19012123617176.0
1. Chứng khoán kinh doanh,0.0,292167977233.0,2800000000.0,22200000000.0,162184182600.0,,,,395529662630.0,444951662630.0,,787446736970.0,646589474570.0,705856702070.0,660136452070.0,349200722070.0,1085853081992.0,1992795151992.0,2400760431792.0,2487007911792.0,2621095431792.0,1411282231792.0,2162917431792.0,2390210765125.0,3205277431792.0,1291557431792.0,815277431792.0,707277431792.0,1003902256312.0,2103902256312.0,4039304630112.0,4063170331922.0,4833330632402.0,4013292575718.0,4313292575718.0,5913292575718.0,6063292575718.0,6157271306426.0,7607171306426.0,8614466339242.0,676733617318.0,525969373197.0,525980876577.0,525394708812.0,525395173363.0,443111513363.0,443132521486.0,443133010047.0,443132521486.0,443132032925.0,443130811523.0,443134964291.0,443143269828.0,443161346585.0,443154262451.0,443154995292.0,443157926658.0,443154506731.0,1153041048.0,1148118350.0,1129064471.0,1128087349.0,1124178861.0,1123201739.0,1129553032.0,1116850446.0,1119781812.0,1122713178.0,1143965582.0,1173034961.0,1159355253.0,1154469643.0,1160332375.0,1195020206.0
2. Dự phòng giảm giá chứng khoán kinh doanh,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,-1243866000.0,-79755688078.0,-79621701478.0,-101019053878.0,-128482787578.0,-100888428800.0,-80393982400.0,-86506865100.0,-85103328700.0,-85829929000.0,-81631271600.0,-70657669500.0,-72098138200.0,-76207866800.0,-75592105300.0,-79244243600.0,-75001474900.0,-72171467820.0,-74567691420.0,-130028675620.0,-136528356040.0,-142493871110.0,-143575884110.0,-145974953400.0,-137219494100.0,-145945484400.0,-146844547900.0,-139208371400.0,-145198553483.0,-126482836506.0,-71689879906.0,-72195440247.0,-72235445147.0,-71990569389.0,-491146589.0,-500629886.0,-500850428.0,-500629886.0,-500409344.0,-675708019.0,-678242110.0,-683310293.0,-694341044.0,-605728258.0,-606120823.0,-607691084.0,-605859113.0,-840586787.0,-854402660.0,-840223212.0,-839496060.0,-936520806.0,-935706794.0,-940997872.0,-930415716.0,-666201430.0,-667945412.0,-680589288.0,-697883784.0,-689745197.0,-686838559.0,-690326525.0,-710963655.0
3. Đầu tư nắm giữ đến ngày đáo hạn,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7306628000000.0,6464592500000.0,8214592500000.0,8852226000000.0,8177079020000.0,8492668020000.0,10011117421871.0,9877453820000.0,11009330743833.0,9349310323833.0,10119259273833.0,9219432843833.0,8768310966630.0,7329833438605.0,8231378417697.0,9224297778110.0,8863981243857.0,9795737200486.0,12435431874703.0,14369994892840.0,16362771897081.0,17871714073333.0,17313492116838.0,19542606742152.0,19971034155350.0,19752956259213.0,21025282199093.0,19832374946053.0,18975699987622.0,19533087992528.0,17413585718627.0,16800864170200.0,19082530537732.0,19011639560625.0
III. Các khoản phải thu ngắn hạn,807082067782.0,178800222015.0,758519689938.0,769091665365.0,835869433176.0,1023787335417.0,513262000000.0,474596000000.0,608060429937.0,673476825357.0,886737000000.0,715736399378.0,779257383733.0,596449058597.0,646384971761.0,690987759537.0,657549152693.0,734645566240.0,778010643038.0,896725923461.0,969696820155.0,1385642516051.0,1124862162625.0,1503465204011.0,1986035714065.0,2176511993553.0,2169205076812.0,2383895154804.0,2430088289807.0,2400760925119.0,2216290611750.0,2313882601252.0,2412771906031.0,2571043374013.0,2728421414532.0,2589045252214.0,2239065946679.0,2535847162555.0,2771736892079.0,2941878217850.0,3033862672924.0,2984334413825.0,2685469151432.0,3370787460751.0,3367616862575.0,3624417789794.0,2866683958798.0,3607663053640.0,4302765388752.0,4629352818459.0,4591702853157.0,5175991528051.0,5149241546227.0,5460673084444.0,4639447900101.0,5520731708608.0,5391295160818.0,5699702616339.0,4503154728959.0,4711713537853.0,5674690836392.0,5976863349617.0,5187253172150.0,5320350430335.0,6370305908925.0,6118496933219.0,5822028742791.0,6024628344054.0,6040009761668.0,5954158809895.0,6100402870854.0,6619266952011.0,6142392930802.0,5931433000484.0
1. Phải thu ngắn hạn của khách hàng,540787614940.0,85310098924.0,390803692829.0,369437267024.0,645252087015.0,,,,440724275712.0,466277205905.0,,580627132366.0,614168881062.0,431615129362.0,530148996144.0,539585791009.0,520573058101.0,551206553828.0,562103198942.0,578541881212.0,663233010328.0,746369585103.0,587457894727.0,788437860988.0,952103144868.0,978114528580.0,1143168467855.0,1376181804395.0,1574759755571.0,1222011984931.0,1269841759012.0,1178971026407.0,1485966392617.0,1736756164676.0,1894721027784.0,1804178437030.0,1682251662275.0,1804396242964.0,1988614362323.0,2189267481557.0,2362130859829.0,2482633690057.0,2202396055303.0,2838010264223.0,2752012552498.0,2872999713847.0,2191348458582.0,2611281502621.0,3082575426603.0,3669949297662.0,3613981838047.0,4012596156588.0,3743264814054.0,4235883096045.0,3380017354930.0,4251244955578.0,4115244550066.0,4296365444224.0,3474498518959.0,3742853911024.0,4399627020704.0,4609296981692.0,4173563213813.0,3946331935127.0,4603103630069.0,4459917129465.0,4367766482060.0,4593058625517.0,4599132964101.0,4551764192610.0,4633942510271.0,4960431442318.0,4504795196787.0,4432011912404.0
2. Trả trước cho người bán,168919532404.0,63289382689.0,82640654414.0,129380652888.0,134467180121.0,,,,79052537892.0,131130336499.0,,82258358302.0,111195207787.0,97658871489.0,75460561209.0,117115210139.0,112628677367.0,140079955017.0,139983228266.0,174168760742.0,158809715621.0,500663461730.0,354095973554.0,421542341630.0,773869177647.0,960365329376.0,795149182591.0,773152240857.0,640555843972.0,812307839050.0,576619318260.0,751565977402.0,679488450242.0,558597968643.0,423820755014.0,373384383132.0,297206010826.0,440963448155.0,420615080215.0,424014615246.0,279648900195.0,190022426600.0,126289719352.0,230193906487.0,307089250909.0,413219416871.0,288808403942.0,526066497300.0,581862822677.0,576988178408.0,622978664875.0,696320345390.0,985009857695.0,793597136008.0,876158254325.0,824642255092.0,764793333218.0,760510957858.0,576013061394.0,388901000559.0,540579362752.0,475798169117.0,546236562342.0,653239283565.0,976845401593.0,866059864322.0,655822646219.0,656413782366.0,572608294056.0,584122702158.0,589439884812.0,799563355449.0,762802524795.0,633286108202.0
3. Phải thu nội bộ ngắn hạn,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4. Phải thu theo tiến độ hợp đồng xây dựng,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5. Phải thu về cho vay ngắn hạn,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31170336327.0,15814336327.0,2948765507.0,22870498078.0,150000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6. Phải thu ngắn hạn khác,97374920438.0,34238173991.0,287439619553.0,272638022311.0,58514442898.0,,,,107294635333.0,95214228953.0,,53532906710.0,54875745602.0,67190020876.0,40922794538.0,34434138519.0,24654756073.0,43645256243.0,76587388719.0,144630528753.0,148177369827.0,139251026397.0,183904850455.0,295158975500.0,261323495147.0,239333930229.0,232805433796.0,237477232783.0,218707510260.0,370331200067.0,373682118364.0,389065205042.0,253018970771.0,277634861101.0,417266719643.0,418615624121.0,265780237413.0,296541613793.0,368425283975.0,336114094347.0,399857213747.0,317686724375.0,359995340900.0,305981583267.0,312311669437.0,342023230991.0,390695669694.0,475127900192.0,643421088892.0,390947335364.0,367936323771.0,480653668170.0,430716773111.0,441821582107.0,394535471938.0,455166167369.0,521239061465.0,653341478292.0,438267517904.0,581646262940.0,747652063638.0,885467143906.0,483737475103.0,736497645071.0,805655807367.0,807107394215.0,810697107773.0,787765239170.0,881392879970.0,831844423117.0,890466200571.0,873056716344.0,889077893089.0,880916713917.0
7. Dự phòng phải thu ngắn hạn khó đòi,0.0,-4037433589.0,-2364276858.0,-2364276858.0,-2364276858.0,,,,-19011019000.0,-19144946000.0,,-681998000.0,-982450718.0,-14963130.0,-147380130.0,-147380130.0,-307338848.0,-286198848.0,-663172889.0,-615247246.0,-523275621.0,-641557179.0,-596556111.0,-1673974107.0,-1260103597.0,-1301794632.0,-1918007430.0,-2916123231.0,-3934819996.0,-3890098929.0,-3852583886.0,-5719607599.0,-5701907599.0,-1945620407.0,-7387087909.0,-7133192069.0,-6171963835.0,-6054142357.0,-5917834434.0,-7517973300.0,-7774300847.0,-6008427207.0,-3211964123.0,-3398293226.0,-3796610269.0,-3824571915.0,-4168573420.0,-4812846473.0,-5093949420.0,-8531992975.0,-13193973536.0,-13578642097.0,-9749898633.0,-10628729716.0,-11263181092.0,-10321669431.0,-9981783931.0,-10515264035.0,-16794705625.0,-17501972997.0,-16116376209.0,-16569443176.0,-16434079108.0,-15718433428.0,-15298930104.0,-14587454783.0,-12257493261.0,-12609302999.0,-13124376459.0,-13572507990.0,-13445724800.0,-13784562100.0,-14282683869.0,-14781734039.0
IV. Tổng hàng tồn kho,600326534775.0,778299145282.0,1092949522780.0,1152870668670.0,1807433075603.0,1276774063621.0,918639000000.0,908147000000.0,1183710371858.0,1114789428762.0,1642933000000.0,1638018830629.0,1871942703614.0,1647414940967.0,1796683858145.0,1346421847837.0,1239919773538.0,960643306903.0,1311885735523.0,1738450603360.0,2323499221472.0,2148535046021.0,2351354229902.0,3185278170044.0,4078339438541.0,3469378502568.0,3272495674110.0,3895594802386.0,4316253766478.0,3539650095234.0,3472845352518.0,3763211894998.0,3881704034688.0,3258750181216.0,3217483048888.0,3798942838749.0,4259769334087.0,3535730778418.0,3620107245454.0,3924904956963.0,3784847613344.0,3658427900984.0,3810095215771.0,4029870340727.0,4385254758820.0,3919152564002.0,4521766382352.0,3921381723837.0,4181877412455.0,3674548797478.0,4021058976634.0,4373067721747.0,4885749046820.0,4320172955926.0,5525845959354.0,5353836025138.0,5540929744702.0,4990634977666.0,4983044403917.0,5733793403343.0,5696221872518.0,5246489877728.0,4905068613616.0,6465943104329.0,6842795582767.0,6380809878105.0,6773071634017.0,7665947194796.0,7096208618612.0,5777310525795.0,5537563396117.0,6704642178199.0,6319892419521.0,5697772718120.0
1. Hàng tồn kho,600326534775.0,778299145282.0,1092949522780.0,1152870668670.0,1807433075603.0,,,,1198962957767.0,1128403499093.0,,1644596650194.0,1879545099319.0,1653517599349.0,1810987957968.0,1358873677522.0,1251064333315.0,975042592541.0,1321292673484.0,1746920242425.0,2328856596908.0,2152149756370.0,2355487444817.0,3191467814184.0,4083605246412.0,3474086272683.0,3277429580780.0,3899695120418.0,4320893402295.0,3543932114387.0,3476300517903.0,3767593427362.0,3885037011153.0,3262254673271.0,3227859954432.0,3810158581368.0,4273413117553.0,3549938308880.0,3633231617297.0,3935975905243.0,3795398560285.0,3669875691062.0,3827369319952.0,4044031533401.0,4396134069001.0,3929044077496.0,4538439873598.0,3924949167814.0,4184457799087.0,3676257389070.0,4041302638611.0,4396117740988.0,4901208541928.0,4331976652237.0,5538304348980.0,5370480311055.0,5558042713939.0,5005803992060.0,4996114799978.0,5743959650794.0,5709730898950.0,5260129092778.0,4952848688011.0,6514512235046.0,6876983730958.0,6410434510128.0,6820486391670.0,7709372077826.0,7111593809810.0,5792936495639.0,5560169453504.0,6731269100954.0,6346256682126.0,5723674480049.0
2. Dự phòng giảm giá hàng tồn kho,0.0,0.0,0.0,0.0,0.0,,,,-15252585909.0,-13614070331.0,,-6577819565.0,-7602395705.0,-6102658382.0,-14304099823.0,-12451829685.0,-11144559777.0,-14399285638.0,-9406937961.0,-8469639065.0,-5357375436.0,-3614710349.0,-4133214915.0,-6189644140.0,-5265807871.0,-4707770115.0,-4933906670.0,-4100318032.0,-4639635817.0,-4282019153.0,-3455165385.0,-4381532364.0,-3332976465.0,-3504492055.0,-10376905544.0,-11215742619.0,-13643783466.0,-14207530462.0,-13124371843.0,-11070948280.0,-10550946941.0,-11447790078.0,-17274104181.0,-14161192674.0,-10879310181.0,-9891513494.0,-16673491246.0,-3567443977.0,-2580386632.0,-1708591592.0,-20243661977.0,-23050019241.0,-15459495108.0,-11803696311.0,-12458389626.0,-16644285917.0,-17112969237.0,-15169014394.0,-13070396061.0,-10166247451.0,-13509026432.0,-13639215050.0,-47780074395.0,-48569130717.0,-34188148191.0,-29624632023.0,-47414757653.0,-43424883030.0,-15385191198.0,-15625969844.0,-22606057387.0,-26626922755.0,-26364262605.0,-25901761929.0
V. Tài sản ngắn hạn khác,1404598508.0,4543973422.0,33650189261.0,51987135472.0,72281757894.0,58957840028.0,55299000000.0,53547000000.0,80814420609.0,57067370840.0,75146000000.0,29504431924.0,74037546126.0,80612594951.0,53222227991.0,43620654084.0,289656019373.0,318181330993.0,288333532096.0,272360327547.0,93349791059.0,89274362595.0,87854266431.0,97440871689.0,133735900332.0,130940229515.0,133433659990.0,184323773616.0,318712987497.0,233173761209.0,230005737148.0,248701382991.0,279528072606.0,250250009221.0,160062715750.0,209347564558.0,142173267985.0,56494648875.0,134627018241.0,77191829348.0,73342356644.0,58334628969.0,209250529407.0,69891888982.0,70360635147.0,71362199376.0,176204935732.0,105701991265.0,150422009250.0,125060766466.0,169622668237.0,200497033278.0,229481823436.0,176184749512.0,197925815821.0,289863803535.0,174026344180.0,174247411089.0,134427276260.0,266131304574.0,162735537477.0,110082260219.0,148481428818.0,307502064803.0,195175017362.0,142235736017.0,140522619154.0,248132285985.0,251407031377.0,240402259591.0,208417050923.0,258410189158.0,275686931178.0,163264621233.0
1. Chi phí trả trước ngắn hạn,1404598508.0,653543643.0,7150159945.0,28179072501.0,37001253649.0,,,,23578738654.0,19527480893.0,,18433373415.0,48955303862.0,68441886112.0,31459932494.0,33611041167.0,50857659510.0,59176609093.0,21986072192.0,36233225289.0,55575662206.0,51658403800.0,38595473073.0,45504168492.0,86539518877.0,75708693070.0,56909099519.0,51223606413.0,83390393636.0,77169886755.0,72343567654.0,94138118086.0,108170508111.0,108367562365.0,129708362747.0,115370692193.0,61300020920.0,39230346049.0,115703239463.0,52163110450.0,58365888691.0,48337495676.0,156056494506.0,60821692015.0,60103330402.0,56603353889.0,59288353847.0,64217566864.0,78823671935.0,55525383257.0,51933181113.0,57771874223.0,87674648775.0,92431366027.0,54821120257.0,195901073135.0,73682616065.0,105004011500.0,68634341838.0,191908873075.0,82921568374.0,59119841358.0,57414707597.0,202707221650.0,106404763709.0,74707575214.0,57272673101.0,90468078225.0,89010262006.0,151723233852.0,97570693043.0,117728696511.0,101959527803.0,76718813343.0
2. Thuế giá trị gia tăng được khấu trừ,0.0,0.0,0.0,0.0,8057243988.0,,,,29657686380.0,5633453560.0,,3691210216.0,19531711566.0,4236214956.0,19195984660.0,6506890139.0,9441837610.0,27340776075.0,37362240286.0,38977050933.0,29923559921.0,33412365524.0,16933368421.0,48440007575.0,43914954358.0,53109878331.0,74772661634.0,130786397109.0,233278321426.0,154130657509.0,154118437302.0,152511877995.0,169557811981.0,139872303187.0,25468115542.0,36355571376.0,31537060993.0,10585212040.0,13465035833.0,24957834292.0,14973662295.0,9994969797.0,53192367873.0,9069280277.0,10088409785.0,14335869351.0,116835557323.0,41484089983.0,71598042492.0,69495374994.0,117132711139.0,142262843991.0,141344859597.0,83291068421.0,142642380500.0,93500415336.0,100343728115.0,69243399589.0,60875991566.0,70282162639.0,77702216302.0,47699615605.0,37158670216.0,76794258117.0,82825397969.0,65290639803.0,79012114725.0,153523533888.0,158329593148.0,85520173902.0,89204099539.0,137165895547.0,170046962517.0,79806650784.0
3. Thuế và các khoản phải thu Nhà nước,0.0,0.0,26500029316.0,23808062971.0,23808062971.0,,,,24402820775.0,23808062971.0,,585996047.0,253473520.0,372082718.0,0.0,3625068.0,226000000000.0,226000000000.0,226000000000.0,193569624181.0,3942194521.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5362800.0,0.0,0.0,0.0,16204115.0,70884606.0,2805658.0,2163496.0,1667028.0,916690.0,168894960.0,422976136.0,81024562.0,334418.0,294823.0,40008215.0,556775985.0,462315064.0,462315064.0,462315064.0,462315064.0,462315064.0,0.0,0.0,0.0,3940268860.0,2111752801.0,3262803256.0,53908051005.0,28000585036.0,5944855684.0,2237521000.0,4237831328.0,4140673872.0,4067176223.0,3158851837.0,21642258341.0,3515597100.0,3680440858.0,6739157106.0
